channelGrouping;date;fullVisitorId;visitNumber;visitStartTime;browser;operatingSystem;isMobile;city;source;hits;pageviews;newVisits;transactionRevenue;year;month;quarterMonth;day;weekday;hour;Classifier
6;326;2658678838785413275;1;11110;5;6;False;295;48;39;28;True;31.49;2017;6;2;23;4;2;1
4;326;9257385271832632906;1;11109;5;9;False;250;23;40;31;True;0.0;2017;6;2;23;4;1;0
7;326;1395208613275855547;1;11090;5;1;True;57;75;1;1;True;0.0;2017;6;2;23;4;12;0
4;223;7622446040660829469;1;7946;18;11;True;0;23;1;1;True;0.0;2017;3;1;12;6;19;0
4;223;3116456834347145348;2;7935;5;6;False;295;23;1;1;False;0.0;2017;3;1;12;6;14;0
4;223;3968015612375389087;1;7934;5;9;False;295;23;1;1;True;0.0;2017;3;1;12;6;14;0
2;223;8582317790708519737;1;7947;5;1;True;295;0;1;1;True;0.0;2017;3;1;12;6;22;0
4;223;72075289453617886;1;7942;18;11;True;295;23;1;1;True;0.0;2017;3;1;12;6;18;0
1;223;7752672188470565133;1;7954;5;9;False;295;3;1;1;True;0.0;2017;3;1;12;6;2;0
2;223;6259856719065022789;3;7949;5;11;True;231;0;1;1;False;0.0;2017;3;1;12;6;23;0
2;223;9315284963211052481;1;7933;8;6;False;295;0;1;1;True;0.0;2017;3;1;12;6;13;0
4;223;2696306792944108296;1;7932;5;9;False;295;23;1;1;True;0.0;2017;3;1;12;6;13;0
4;223;7270643426439874820;2;7929;5;9;False;62;23;1;1;False;0.0;2017;3;1;12;6;9;0
4;223;4872151516335975735;1;7931;5;1;True;295;23;1;1;True;0.0;2017;3;1;12;6;12;0
4;223;7522957856862035369;1;7945;18;6;False;295;23;1;1;True;0.0;2017;3;1;12;6;19;0
4;223;961496838089020524;1;7952;18;11;True;295;23;2;2;True;0.0;2017;3;1;12;6;1;0
4;223;2339446861344388021;1;7936;5;9;False;265;23;2;2;True;0.0;2017;3;1;12;6;15;0
4;223;142933316330346503;1;7940;5;9;False;265;23;2;2;True;0.0;2017;3;1;12;6;17;0
4;223;7270643426439874820;1;7928;5;9;False;62;23;2;2;True;0.0;2017;3;1;12;6;8;0
2;223;9817065089721370875;7;7938;18;11;True;0;0;3;3;False;0.0;2017;3;1;12;6;17;0
4;223;1226582864194569702;2;7953;5;9;False;295;23;3;3;False;0.0;2017;3;1;12;6;1;0
2;223;9817065089721370875;8;7955;18;11;True;0;0;5;5;False;0.0;2017;3;1;12;6;2;0
4;223;8690153727638260950;1;7937;5;9;False;295;23;6;5;True;0.0;2017;3;1;12;6;16;0
4;223;283426565972254326;1;7948;5;1;True;295;23;7;5;True;0.0;2017;3;1;12;6;22;0
4;223;605154606872755082;1;7939;18;6;False;283;23;8;7;True;0.0;2017;3;1;12;6;17;0
4;223;2779632176461173531;1;7951;5;6;False;230;23;11;11;True;0.0;2017;3;1;12;6;1;0
4;223;2946715286001494092;2;7944;5;6;False;241;23;14;8;False;0.0;2017;3;1;12;6;18;0
7;223;1668862201013184148;1;7956;5;9;False;29;75;1;1;True;0.0;2017;3;1;12;6;4;0
7;223;4145304730662032132;1;7943;5;9;False;295;75;1;1;True;0.0;2017;3;1;12;6;18;0
7;223;1464115945338068617;1;7950;5;9;False;295;75;2;2;True;0.0;2017;3;1;12;6;0;0
7;223;3493217222941236638;1;7941;5;9;False;295;75;3;3;True;0.0;2017;3;1;12;6;17;0
7;223;6499306236950984055;1;7930;5;1;True;0;75;7;6;True;0.0;2017;3;1;12;6;10;0
4;186;9037040471447393542;2;6734;5;1;True;295;23;1;1;False;0.0;2017;2;1;3;4;9;0
4;186;5807533018984465688;1;6737;5;9;False;295;23;1;1;True;0.0;2017;2;1;3;4;10;0
2;186;3971296797513491797;13;6738;5;6;False;295;0;1;1;False;0.0;2017;2;1;3;4;13;0
4;186;12238263391146875;1;6742;5;1;True;295;23;1;1;True;0.0;2017;2;1;3;4;15;0
4;186;5745028742572432855;1;6739;5;9;False;295;23;1;1;True;0.0;2017;2;1;3;4;13;0
4;186;6929245339143633474;1;6752;5;9;False;295;23;1;1;True;0.0;2017;2;1;3;4;2;0
2;186;4541510262468059964;1;6746;5;6;False;59;0;1;1;True;0.0;2017;2;1;3;4;20;0
4;186;5923791913535132136;1;6733;5;9;False;265;23;1;1;True;0.0;2017;2;1;3;4;8;0
2;186;926615944216412063;1;6748;5;5;False;0;0;1;1;True;0.0;2017;2;1;3;4;21;0
5;186;6001299969997103533;3;6732;8;9;False;295;23;1;1;False;0.0;2017;2;1;3;4;8;0
2;186;580786618955798041;1;6744;5;6;False;295;0;1;1;True;0.0;2017;2;1;3;4;18;0
4;186;7666434091011626920;3;6741;18;11;True;295;23;1;1;False;0.0;2017;2;1;3;4;14;0
4;186;7666434091011626920;2;6740;18;11;True;295;23;1;1;False;0.0;2017;2;1;3;4;13;0
4;186;1537187396504502346;1;6735;16;0;True;295;23;1;1;True;0.0;2017;2;1;3;4;9;0
4;186;7304797028000348134;1;6751;5;1;True;295;23;1;1;True;0.0;2017;2;1;3;4;23;0
4;186;7244962370109989029;1;6753;18;11;True;295;23;1;1;True;0.0;2017;2;1;3;4;2;0
4;186;4308041461368784647;1;6754;5;1;True;295;23;1;1;True;0.0;2017;2;1;3;4;2;0
4;186;9039784097655368026;1;6756;18;11;True;295;23;1;1;True;0.0;2017;2;1;3;4;6;0
6;186;7555423524940838270;4;6755;5;5;False;295;48;2;2;False;0.0;2017;2;1;3;4;2;0
2;186;7011300407564843977;1;6750;18;6;False;295;0;2;2;True;0.0;2017;2;1;3;4;23;0
2;186;6105558216853871138;1;6747;5;9;False;295;0;2;2;True;0.0;2017;2;1;3;4;21;0
4;186;6075095966534114255;1;6745;5;1;True;295;23;4;4;True;0.0;2017;2;1;3;4;19;0
4;186;736267239351697167;1;6749;18;11;True;295;23;8;8;True;0.0;2017;2;1;3;4;22;0
7;186;60110622340966315;1;6736;7;9;False;295;75;1;1;True;0.0;2017;2;1;3;4;10;0
7;186;286724596836144060;1;6743;5;6;False;295;75;3;3;True;0.0;2017;2;1;3;4;16;0
4;10;2125956306143096118;1;326;5;6;False;295;23;6;5;True;0.0;2016;8;3;11;3;20;0
6;10;8756800077805332035;11;340;5;3;False;172;48;14;9;False;0.0;2016;8;3;11;3;5;0
4;10;2720369954086501886;1;332;18;11;True;295;23;14;9;True;0.0;2016;8;3;11;3;23;0
4;10;5916241859719709667;1;321;5;1;True;295;23;15;13;True;0.0;2016;8;3;11;3;15;0
6;10;5513331212846933396;9;331;5;6;False;182;67;30;23;False;556.61;2016;8;3;11;3;23;1
5;10;7741973107106825410;1;320;5;6;False;295;23;35;23;True;0.0;2016;8;3;11;3;13;0
6;10;572741150050251305;2;339;5;6;False;230;48;48;35;False;0.0;2016;8;3;11;3;5;0
6;10;5513331212846933396;8;324;5;6;False;182;67;53;34;False;0.0;2016;8;3;11;3;20;0
7;10;8422886278314605556;1;317;5;9;False;295;75;6;5;True;0.0;2016;8;3;11;3;8;0
7;10;9871764223313682714;1;316;5;9;False;295;75;1;1;True;0.0;2016;8;3;11;3;8;0
6;10;9291586860020646284;1;341;5;9;False;25;6;2;1;True;0.0;2016;8;3;11;3;5;0
4;10;9582382788023058775;1;330;5;1;True;295;23;3;2;True;0.0;2016;8;3;11;3;22;0
2;10;8197129996878479976;1;329;5;11;True;246;0;1;1;True;0.0;2016;8;3;11;3;22;0
2;10;8197129996878479976;3;337;5;11;True;246;0;1;1;False;0.0;2016;8;3;11;3;4;0
7;10;1433799462400805317;2;343;5;6;False;295;19;1;1;False;0.0;2016;8;3;11;3;6;0
2;10;3375143089843318917;1;323;5;1;True;41;0;3;2;True;0.0;2016;8;3;11;3;15;0
2;10;7005449862736581250;1;335;5;1;True;148;0;4;4;True;0.0;2016;8;3;11;3;0;0
2;10;5888890360818664156;1;322;18;10;True;41;0;4;4;True;0.0;2016;8;3;11;3;15;0
2;10;8197129996878479976;2;334;5;11;True;246;0;14;10;False;0.0;2016;8;3;11;3;0;0
4;10;7657354342579574328;1;325;5;6;False;257;23;1;1;True;0.0;2016;8;3;11;3;20;0
4;10;5399802284662099148;1;328;5;11;True;14;23;1;1;True;0.0;2016;8;3;11;3;21;0
4;10;572741150050251305;1;338;5;6;False;230;23;3;3;True;0.0;2016;8;3;11;3;5;0
4;10;9977581648088561831;1;342;18;6;False;257;23;3;3;True;0.0;2016;8;3;11;3;6;0
7;10;8077800117195342548;1;333;7;9;False;295;75;1;1;True;0.0;2016;8;3;11;3;0;0
7;10;5573056526570306638;3;315;5;9;False;295;75;1;1;False;0.0;2016;8;3;11;3;7;0
7;10;6827096236662519474;1;318;8;9;False;295;75;1;1;True;0.0;2016;8;3;11;3;8;0
7;10;2289433266535777136;1;319;5;9;False;295;75;1;1;True;0.0;2016;8;3;11;3;8;0
7;10;7638837498911590254;1;327;8;9;False;295;75;1;1;True;0.0;2016;8;3;11;3;21;0
7;10;3371416225895738482;1;336;18;6;False;295;75;1;1;True;0.0;2016;8;3;11;3;2;0
4;316;9143732103194476138;1;10858;5;1;True;295;23;5;5;True;0.0;2017;6;2;13;1;5;0
4;316;8907488943105277340;4;10846;5;6;False;230;23;7;7;False;0.0;2017;6;2;13;1;19;0
4;316;8893114369437081102;3;10843;5;9;False;295;23;7;5;False;0.0;2017;6;2;13;1;17;0
2;316;395278419024432680;1;10853;5;1;True;57;0;16;15;True;0.0;2017;6;2;13;1;1;0
6;316;881166026873081385;8;10855;5;6;False;48;48;3;3;False;0.0;2017;6;2;13;1;2;0
2;316;3259607134714288579;1;10842;5;9;False;295;0;3;3;True;0.0;2017;6;2;13;1;17;0
6;316;2487784288196029834;4;10857;5;6;False;195;48;3;3;False;0.0;2017;6;2;13;1;3;0
6;316;4257966223484066508;1;10844;5;5;False;172;48;3;3;True;0.0;2017;6;2;13;1;19;0
4;316;1727160936688013794;1;10848;5;1;True;295;23;3;3;True;0.0;2017;6;2;13;1;20;0
4;316;8893114369437081102;2;10837;5;9;False;295;23;7;5;False;0.0;2017;6;2;13;1;16;0
2;316;4178565116201727698;1;10840;5;1;True;59;0;7;5;True;0.0;2017;6;2;13;1;17;0
2;316;6456074379870938191;1;10850;5;1;True;295;0;9;7;True;0.0;2017;6;2;13;1;0;0
4;316;6456074379870938191;2;10851;5;1;True;295;23;9;9;False;0.0;2017;6;2;13;1;0;0
4;316;9232193241402309060;1;10833;8;9;False;295;23;16;13;True;0.0;2017;6;2;13;1;11;0
6;316;933609677016463494;3;10839;5;6;False;245;48;18;18;False;13.59;2017;6;2;13;1;17;1
1;316;3514371720101184445;9;10831;5;6;False;295;3;23;21;False;0.0;2017;6;2;13;1;9;0
4;316;9404582272434675318;1;10834;5;1;True;295;23;29;19;True;0.0;2017;6;2;13;1;12;0
1;316;3514371720101184445;8;10828;5;6;False;295;3;47;37;False;0.0;2017;6;2;13;1;8;0
4;316;5943946271546989378;1;10832;18;11;True;246;23;1;1;True;0.0;2017;6;2;13;1;11;0
4;316;3953276050020927237;1;10845;5;9;False;112;23;1;1;True;0.0;2017;6;2;13;1;19;0
6;316;4493993576143926375;2;10836;5;9;False;295;5;2;2;False;0.0;2017;6;2;13;1;14;0
1;316;4078508706580318980;1;10830;5;1;True;295;3;2;2;True;0.0;2017;6;2;13;1;9;0
2;316;1470956649294061383;6;10849;5;9;False;225;0;3;3;False;0.0;2017;6;2;13;1;21;0
4;316;4178565116201727698;2;10841;5;1;True;59;23;1;1;False;0.0;2017;6;2;13;1;17;0
2;316;2051810521549998143;1;10829;5;9;False;295;0;1;1;True;0.0;2017;6;2;13;1;8;0
4;316;835352569152234838;1;10852;5;9;False;295;23;1;1;True;0.0;2017;6;2;13;1;0;0
4;316;2206552785741965412;1;10859;5;1;True;295;23;1;1;True;0.0;2017;6;2;13;1;6;0
4;316;3985934449898484640;1;10860;18;11;True;295;23;1;1;True;0.0;2017;6;2;13;1;6;0
4;316;3400449883701226209;1;10838;18;11;True;295;23;1;1;True;0.0;2017;6;2;13;1;16;0
4;316;862818764695680812;1;10854;5;9;False;295;23;1;1;True;0.0;2017;6;2;13;1;1;0
4;316;5053071328422105611;1;10847;5;1;True;47;23;2;2;True;0.0;2017;6;2;13;1;19;0
4;316;9636504757065440461;1;10835;18;11;True;295;23;2;2;True;0.0;2017;6;2;13;1;12;0
4;316;6322869079807141003;1;10856;8;6;False;295;23;2;2;True;0.0;2017;6;2;13;1;2;0
2;165;2264882838925775988;1;6166;5;1;True;147;0;1;1;True;0.0;2017;1;1;13;4;23;0
2;165;2080153722995576506;1;6169;5;1;True;182;0;1;1;True;0.0;2017;1;1;13;4;1;0
4;165;1505296320093482797;1;6155;5;9;False;295;23;1;1;True;0.0;2017;1;1;13;4;10;0
4;165;444924077232497921;1;6154;5;6;False;7;23;1;1;True;0.0;2017;1;1;13;4;8;0
2;165;3040173612903808677;1;6171;5;1;True;295;0;1;1;True;0.0;2017;1;1;13;4;4;0
1;165;3179451259465945501;1;6165;18;6;False;182;3;1;1;True;0.0;2017;1;1;13;4;22;0
4;165;1367654417056378186;1;6156;5;1;True;295;23;1;1;True;0.0;2017;1;1;13;4;11;0
4;165;5482725740759363034;1;6168;18;11;True;147;23;2;2;True;0.0;2017;1;1;13;4;0;0
4;165;286909856080832972;1;6158;5;9;False;295;23;2;2;True;0.0;2017;1;1;13;4;13;0
4;165;153200343438295007;1;6170;5;6;False;295;23;3;3;True;0.0;2017;1;1;13;4;1;0
2;165;3931654387670932461;1;6164;5;6;False;172;0;3;3;True;0.0;2017;1;1;13;4;22;0
6;165;5751337791779527702;1;6160;5;9;False;295;5;4;4;True;0.0;2017;1;1;13;4;15;0
4;165;7275256445370560763;1;6163;3;1;True;295;23;4;4;True;0.0;2017;1;1;13;4;22;0
4;165;8519180914208107038;1;6157;5;9;False;295;23;4;4;True;0.0;2017;1;1;13;4;12;0
2;165;5688849744235446525;5;6161;5;9;False;172;0;6;5;False;0.0;2017;1;1;13;4;19;0
2;165;3267886093395381067;1;6162;5;9;False;295;0;15;12;True;0.0;2017;1;1;13;4;20;0
7;165;6927199245318806368;1;6159;5;9;False;295;75;1;1;True;0.0;2017;1;1;13;4;14;0
7;165;5081177654208357484;1;6167;5;9;False;295;75;1;1;True;0.0;2017;1;1;13;4;0;0
7;109;5416345696998751894;1;4149;18;6;False;268;75;1;1;True;0.0;2016;11;4;18;4;5;0
4;109;7775538517486943949;1;4117;5;1;True;181;23;1;1;True;0.0;2016;11;4;18;4;11;0
7;109;1964983249880217524;1;4143;9;9;False;295;75;1;1;True;0.0;2016;11;4;18;4;0;0
7;109;759133578098663185;1;4118;5;9;False;0;75;1;1;True;0.0;2016;11;4;18;4;11;0
7;109;7287079813699651821;1;4139;5;9;False;136;75;1;1;True;0.0;2016;11;4;18;4;23;0
4;109;6300604872683956553;1;4113;5;3;False;295;23;1;1;True;0.0;2016;11;4;18;4;8;0
7;109;6556414189208934619;1;4148;5;9;False;295;75;1;1;True;0.0;2016;11;4;18;4;4;0
7;109;5289940395585336811;1;4146;5;9;False;295;75;1;1;True;0.0;2016;11;4;18;4;2;0
7;109;5077231981146301899;2;4119;18;6;False;249;75;1;1;False;0.0;2016;11;4;18;4;11;0
7;109;7399849010331610731;1;4131;5;9;False;25;75;1;1;True;0.0;2016;11;4;18;4;19;0
7;109;1900720332022186466;1;4123;5;9;False;295;75;1;1;True;0.0;2016;11;4;18;4;14;0
7;109;1971555981810570777;1;4152;5;9;False;0;75;1;1;True;0.0;2016;11;4;18;4;6;0
7;109;6537664275138456170;1;4147;18;6;False;295;75;1;1;True;0.0;2016;11;4;18;4;3;0
7;109;5708293368984380869;1;4136;18;6;False;17;75;1;1;True;0.0;2016;11;4;18;4;22;0
4;109;9649715465273948728;1;4122;5;1;True;135;23;1;1;True;0.0;2016;11;4;18;4;13;0
7;109;6334653670979746560;1;4129;18;6;False;295;75;2;2;True;0.0;2016;11;4;18;4;18;0
7;109;6108746473806136003;1;4116;5;9;False;175;75;2;2;True;0.0;2016;11;4;18;4;11;0
7;109;7309236541550016670;1;4153;18;6;False;109;75;4;4;True;0.0;2016;11;4;18;4;7;0
4;109;4710963186734440185;1;4124;18;11;True;57;23;42;30;True;0.0;2016;11;4;18;4;14;0
2;109;241704255128591861;1;4126;5;5;False;182;0;1;1;True;0.0;2016;11;4;18;4;17;0
2;109;680206014763278315;189;4125;5;6;False;172;0;1;1;False;0.0;2016;11;4;18;4;16;0
2;109;680206014763278315;191;4144;5;6;False;172;0;1;1;False;0.0;2016;11;4;18;4;1;0
2;109;680206014763278315;190;4127;5;6;False;172;0;1;1;False;0.0;2016;11;4;18;4;18;0
4;109;773426948259959583;1;4132;18;11;True;295;23;1;1;True;0.0;2016;11;4;18;4;19;0
7;109;7188777029753687313;2;4133;18;11;True;231;75;1;1;False;0.0;2016;11;4;18;4;20;0
2;109;352113334512098303;3;4130;5;1;True;230;0;1;1;False;0.0;2016;11;4;18;4;18;0
4;109;9175170003081536658;5;4140;18;11;True;295;23;1;1;False;0.0;2016;11;4;18;4;0;0
4;109;9175170003081536658;4;4114;18;11;True;295;23;1;1;False;0.0;2016;11;4;18;4;11;0
4;109;8660324842741025301;5;4134;5;1;True;172;23;1;1;False;0.0;2016;11;4;18;4;21;0
7;109;8816740965066610299;1;4151;5;9;False;295;75;2;2;True;0.0;2016;11;4;18;4;6;0
7;109;4099151570454327569;1;4145;5;9;False;109;75;2;2;True;0.0;2016;11;4;18;4;2;0
7;109;1731132923672949860;1;4121;18;6;False;295;75;2;2;True;0.0;2016;11;4;18;4;12;0
7;109;4997142783833424228;1;4141;18;6;False;295;75;2;2;True;0.0;2016;11;4;18;4;0;0
7;109;4060861903013270957;1;4142;8;9;False;295;75;2;2;True;0.0;2016;11;4;18;4;0;0
4;109;2673852251534577712;1;4128;5;6;False;182;23;3;2;True;0.0;2016;11;4;18;4;18;0
2;109;621834185177682740;3;4135;5;6;False;295;0;4;3;False;0.0;2016;11;4;18;4;21;0
